,Index,article,headline,emotion,neg,neu,pos,compound,Sentiment,Subjectivity
10,10,actress robert take spider role actress julia robert play spider film version child classic charlotte web voice charlotte team girl save friend wilbur pig story eb white film mix live action animation robert project birth twin hazel phinnaeus ago oprah winfrey voice goose john cleese voice sheep steve buscemi rat film dakota fanning play fern girl centre story film directed film maker gary winick filming begin melbourne australia month charlotte web sold copy published animated version live action film actor voice wilbur pig revealed,entertainment,love,0.0,0.877,0.123,0.8807,0.10656565656565654,0.22777777777777777
11,11,film production fall uk number british film produced uk fell movie starring johnny depp jude law affected screen daily seven british film uk year drop funding compared trade weekly attributed drop tighter tax law reduced funding source lottery uk co production fell year year government closed tax loophole film investor taken advantage fund film uk project shelved faced implication clampdown coupled reduction movie funding traditional source including lottery miramax film shooting period drama tulip fever star jude law keira knightley postponed indefinitely shooting libertine starring johnny depp moved isle man coming replace fund libertine producer marc samuelson hiatus film medium budget similar level box office hit vera drake calendar girl enduring love expected worst tax clampdown strength pound dollar expected resulted fall number film shot uk screen budget co production harry potter series continued shot uk uk film council drop partly especially year british film production bridget jones edge reason wimbledon thunderbird filmed uk drop expected level production bettered council spokesperson reduction indigenous film production variety factor including continuing term trend co production film change financing arrangement early predict downward trend uk production continue uk film council september government introduced subsidy worth film medium budget film treasury measure announce replacement uk film tax relief scheme section july,entertainment,love,0.086,0.832,0.082,0.0258,-0.03333333333333333,0.36333333333333334
12,12,patti smith host art festival rock star patti smith artistic director year meltdown festival held south bank centre june punk pioneer follows morrissey david bowie nick cave directing concert event smith decide line meltdown begin june touch aspect culture reading genet idea jeremy iron read proust year old singer night observer newspaper festival response material exploitative greedy important explore salute art aesthetically spiritually year meltdown festival directed ex smith star morrissey included appearance singer jane birkin nancy sinatra playwright alan bennett persuaded punk band york doll reform reunion,entertainment,joy,0.023,0.829,0.148,0.9062,0.10666666666666669,0.5266666666666666
13,13,oscar nominee dan herlihy dy irish actor dan herlihy nominated actor oscar died age herlihy oscar nomination luis bunuel adventure robinson crusoe died malibu california actor began film career macduff orson welles macbeth regular dublin stage later appeared robocop sequel cult tv twin peak ceo omni consumer product robocop robocop later saw mill owner andrew packard twin peak despite oscar nomination lead role familiar supporting actor tv film nominated academy award marlon brando waterfront,entertainment,joy,0.085,0.813,0.102,0.128,0.10416666666666667,0.1378205128205128
14,14,brit return keane number brit success helped return keane award winning album hope fear album chart debut album took best british album title brit tuesday moved seven place number number capitalising brit success scissor sister eponymous album moved place number latest single took spot single chart elvis track album dismantle atomic bomb pushed eminem toy soldier number number elvis wooden heart entered chart number sixth series reissue mark anniversary presley birth released elvis track occupying spot single chart lonesome tonight number number jailhouse rock number soldier destiny child ti lil wayne debuted number duet westlife star brian mcfadden delta goodrem fell number number follow brit success franz ferdinand best rock act best british week self titled album moved number week number album tourist athlete fell number,entertainment,joy,0.055,0.608,0.337,0.9866,0.33469387755102037,0.22806122448979593
15,15,sundance honour foreign film international film prominence film sundance film festival movie dominated theme war independent film festival feature new international cinema competition utah film debut sundance including liberace baghdad director sean mcallister prestigious festival founded actor robert redford international component enter jury competition festival director geoffrey gilmore wanted world cinema emphasis par american dramatic documentary competition film competing new world cinema documentary category focus siege liberace baghdad feature iraqi pianist hiding hotel wait visa finnish film room melancholia look war chechnya shake hand devil journey romeo dallaire tell un mission rwanda genocide french israeli production wall look israel controversial security wall separating palestinian territory film competing new world cinema dramatic category work germany south korea angola china denmark australia hollywood star feature festival american independent drama category including keanu reef benjamin bratt vince vaughn star quirky movie thumbsucker gram actress naomi watt play budding hollywood actress ellie parker grand jury prize festival budget sci fi thriller primer written directed shane carruth morgan spurlock earned directing award super size international box,entertainment,joy,0.09,0.695,0.215,0.979,0.040943526170798904,0.30705922865013774
16,16,rapper snoop dogg sued rape rapper snoop dogg sued artist claimed entourage drugged raped year ago woman assaulted recording jimmy kimmel live tv abc network rapper allegation untrue woman misusing legal system mean extracting financial gain abc claim merit star charged police lawsuit filed los angeles friday woman champagne spiked assaulted rapper spokesperson snoop opportunity prove court law alleged victim opportunistic deceitful confident case alleged victim claim snoop dogg rejected lawsuit name snoop dogg real calvin broadus plus associate walt disney company parent company abc inc woman waited year sue trying negotiate settlement medium lawyer perry wander disney abc failed provide safe working environment client legal come rap star sued woman claimed tried blackmail quiet alleged assault rapper enjoyed album bursting scene song gin juice,entertainment,fear,0.243,0.615,0.142,-0.9493,0.06086647727272728,0.30963541666666666
17,17,de niro film lead box office film star robert de niro returned north american box office film hide seek thriller shot straight number spot taking box office de niro recently spent week comedy meet fockers number week oscar hopeful aviator million dollar baby sideways cashed multiple nomination stronger ticket hide seek de niro play widower daughter creepy imaginary friend lukewarm review critic film element actor psychological thriller certainly elevated bruce snyder domestic distribution century fox clint eastwood million dollar baby led oscar hopeful coming number weekend wide release aviator film biography howard hughes lead oscar field nomination number weekend oscar picture nominee sideways entered week release came seventh week film ice cube road trip comedy slipped coach carter fell place number taking week rounding starring dennis quaid scarlett johansson racing stripe assault precinct,entertainment,joy,0.06,0.726,0.215,0.9524,-0.03174603174603175,0.2968253968253969
18,18,fantasy book win hollywood deal british author film right child bestseller snapped seven figure sum ridley scott set direct michelle paver wolf brother fantasy set year ago planned series book film studio fox bought right scott company scott free develop director thrilled project wolf brother enchanting book paver life london previously worked lawyer began writing book studying biochemistry oxford university established author love story turned progress child novel published paver earning advance highest sum paid debut child book wolf brother tell story torak old hunter life forest father killed team wolf cub set rid forest evil force paver currently writing second book series michelle paver life breathes world writes author film deal moment writing second book mind year away deep primeval forest,entertainment,joy,0.063,0.802,0.136,0.8555,0.10654761904761906,0.38363095238095246
19,19,indie film nomination announced mike leigh award abortion drama vera drake scooped seven nomination british independent film award venice winner face stiff competition shane meadow critically acclaimed dead man shoe received nomination running clutch award summer love stalker drama enduring love winner announced ceremony winner award chosen jury chaired cold mountain director anthony minghella actress cate blanchett helena bonham carter award recognise independent film established seven nominee reflect strength diversity british independent filmmaking bifa founder director elliot grove commenting diversity nominated selection committee harder narrowing field joining vera drake dead man shoe running best film summer love climbing documentary touching void zombie comedy shaun dead geoffrey rush win best actor nomination role peter seller biopic death peter seller australian star face competition daniel craig enduring love phil davis vera drake ian hart blind fight dead man shoe star paddy considine considine nominated best supporting actor award summer love rare nominee scarlett johansson best actress contender role girl pearl earring fellow nominee imelda staunton vera drake natalie press summer love anne reid mother eva birthistle ae fond kiss shane meadow kevin mcdonald winner douglas hickox award best directorial debut best director nomination seasoned film maker roger michell mike leigh pavel pavlikowsky challenge award harry potter author jk rowling receive special award contribution,entertainment,fear,0.083,0.531,0.386,0.9984,0.2640816326530612,0.37751700680272116
20,20,director nair vanity project indian film director mira nair thrilled chance william makepeace thackeray novel vanity fair book favourite life book classic english literature story scheming century social climber becky sharp film reese witherspoon nair jumped chance film controversially bollywood style including song dance routine film serendipity offered vanity fair studio focus feature distributed monsoon wedding nair world masterpiece offered best thing realising vanity fair actually favourite novel year irish catholic boarding school india debut feature salaam bombay nominated best language oscar winner best feature cannes nair india famous respected director restricted bollywood followed salaam bombay mississippi masala starring denzel washington perez family hollywood film career peaked monsoon wedding golden lion award venice nair indian style adaptation vanity fair attacked critic reached number box opening described bollywood element jarring film ending becky sharp running life india nair film picked thackeray born india moved england young man world becky sharp completely memorable character recognised recognised lady lady wanted buck sort novel kept bed year dip suddenly completely mesmerised older read thackeray clarity sightedness society fact born india england young man gave eye outsider insider perspective loved nair defended cast actress reese witherspoon becky sharp fact rest cast irish cast intuitively film cast non actor cast actor intuition fall love actor visceral response thackeray describes becky sharp minx described tiny red headed thin reese completely minx irresistibility physically perfectly suited witherspoon pregnant nair created need filming trick fact helped film self fulfilling prophesy met husband actor ryan philippe knock need flesh girl joked fan underfed los angeles actor becky sharp eventually blown woman course film love luminosity pregnancy brings love fleshiness love ample bosom gave nair explained camera trick disguise witherspoon bump scene including hiring number young boy costume stand run get coal cart jump horse nair certain carriage horse wipe screen certain moment bump,entertainment,joy,0.063,0.69,0.247,0.9969,0.2890365448504983,0.5374307862679957
21,21,sound music original stage production sound music performed austrian capital film released scale theatrical production musical debut vienna saturday julie andrew starred film version rogers hammerstein classic alpine successful musical barely known inside austria film shown cinema austria broadcast television musical true story von trapp family formed singing troupe escaped nazi occupied austria sensitivity nazism wartime austria issue von trapp family explain austria reluctance embrace musical source irritation austrian song edelweiss considered traditional folk song filmgoers song actually invention rodgers hammerstein consider film portray kitsch image austria yodelling goat herd lederhosen production staged viennese opera house volksoper beginning saturday maria novice nun fall love baron von trapp austro australian actress singer sandra pires,entertainment,joy,0.045,0.834,0.121,0.8658,0.18697916666666667,0.3041666666666666
22,22,lasting influence legend charles ray charles string posthumous grammy award belonged pioneering generation artist influence course rock pop music sound encompassed style blue gospel jazz rock n roll country impact nascent beat r b scene compared stature elvis presley commentator charles song cast spell stalwart joe cocker steve winwood eric burdon van morrison influence extended contemporary artist norah jones recorded duet james brown godfather soul ray charles indisputably founding father sam cooke instrumental bringing gospel fervour deep baptist church devil music r b pave generation soul artist charles imagine tear stained atlantic r b sound aretha franklin otis redding wilson pickett talented jazz composer arranger band newport jazz festival carnegie hall recording noted jazz musician milt jackson fathead newman unfortunately shared trait common jazz artist era heroin addiction arrested string atlantic r b success included song covered generation rock n roll great woman roy orbison elvis presley hallelujah love eddie cochran exuberance signature song charles turned pop oriented style recording hoagy carmichael sentimental string ballad georgia mind upbeat road jack acclaim country arena interpretation hank williams standard cheating heart year release abc album modern sound country western music regarded classic version gibson stop loving topped pop r b chart rare foray protest song album message stand poverty civil right echoing similar recording era progeny stevie wonder james brown curtis mayfield marvin gaye year embrace contemporary production album world featured hip hop beat charles claimed hip hop tribute poured section music world charles died aged june friend producer quincy jones described brother sense word musician break perceived wall musical genre ray charles manfred mann singer paul jones sang hit tomorrow sha la la charles hero sure writing influenced proposition ray charles influence music forever,entertainment,joy,0.086,0.771,0.143,0.9595,0.1821428571428572,0.4355616605616606
23,23,rapper cent end protege feud rapper cent ended feud protege game pair wanted role model community row blew cent threw game g unit crew accused disloyal member game entourage reportedly shot outside radio station cent interviewed pair shook hand handed money music project york deprived area wednesday game real jayceon taylor conference want apologise ashamed participated thing went week chart topper cent real curtis jackson truce came anniversary death notorious big volatile feud east west coast rap scene today people rise difficult circumstance negativity cent people want happen responding important group family fan boy choir harlem cheque cent game handed game contribution compton school music programme cent announced launched g unity foundation people overcome obstacle chance life realised effective overcome game need example community cent stranger feud rapper ja rule target ridicule song latest album released month turned attention fat joe na worked ja rule game admitted drug dealing past shot,entertainment,sadness,0.205,0.683,0.112,-0.9584,-0.12058823529411763,0.4647058823529413
24,24,producer scoop stage award producer beaten mary poppins battle blockbuster musical olivier award producer prize prestigious theatre award mary poppins mel brook hit triumphed battle best new musical mary poppins andrew lloyd webber woman white alan bennett history boy straight theatre category picking trophy eye musical prize producer mary poppins woman white profile opening producer nathan lane minute replacement richard dreyfus beat co star lee evans best musical actor lane production smash hit broadway moving london best musical performance supporting role conleth hill play director roger debris mary poppins award best choreography best musical actress star laura michelle kelly nomination ceremony london hilton hotel award stage adaptation history boy set grammar partly bennett experience teacher best new play best actor richard griffith beat harry potter co star gambon nominated endgame jonathan pryce ben whishaw play theatre artistic director nicholas hytner best director bennett special award outstanding contribution british theatre dame judi dench starred end gielgud best supporting role category amanda harris emilia othello royal shakespeare company olivier award handed society london best lighting design dark material designed paule constable olivier best sound design woman white designed mick potter palace best new opera lady macbeth mtsensk royal opera house outstanding achievement opera thomas ade royal opera house premiere tempest best costume design end designed deirdre clancy gielgud best revival hamlet william shakespeare vic best set design dark material designed giles cadle olivier outstanding musical production hotel donmar warehouse best supporting role musical conleth hill producer theatre royal drury lane best theatre choreographer matthew bourne stephen mear mary poppins prince edward best actor richard griffith history boy lyttelton outstanding achievement performance affiliate theatre andrew scott girl car jerwood theatre upstairs royal best new dance production rambert dance company swamp sadler well outstanding achievement dance san francisco ballet sadler well best performance supporting role amanda harris othello trafalgar studio best actress clare higgins hecuba donmar warehouse best musical actor nathan lane producer theatre royal drury lane best musical actress laura michelle kelly mary poppins prince edward best director nicholas hytner history boy lyttelton best new play history boy alan bennett lyttelton best new musical producer theatre royal drury lane special award alan bennett outstanding contribution british theatre,entertainment,sadness,0.015,0.582,0.402,0.9996,0.4948584748584749,0.31569430569430584
25,25,brit return keane number brit success helped return keane award winning album hope fear album chart debut album took best british album title brit tuesday moved seven place number number capitalising brit success scissor sister eponymous album moved place number latest single took spot single chart elvis track album dismantle atomic bomb pushed eminem toy soldier number number elvis wooden heart entered chart number sixth series reissue mark anniversary presley birth released elvis track occupying spot single chart lonesome tonight number number jailhouse rock number soldier destiny child ti lil wayne debuted number duet westlife star brian mcfadden delta goodrem fell number number follow brit success franz ferdinand best rock act best british week self titled album moved number week number album tourist athlete fell number,entertainment,joy,0.055,0.608,0.337,0.9866,0.33469387755102037,0.22806122448979593
26,26,soul sensation ready award south west teenage singing sensation joss stone nominated category wednesday brit award old small east devon village near cullumpton received nomination best solo female best urban act best breakthrough artist second album mind body soul reached number chart october went straight chart number stone perform award ceremony london earl court teenager grammy nomination normally dominated home grown act born jocelyn stoker devon diva started career talent programme discovered york audition executive steve greenberg old singer hoping tour japan australia,entertainment,surprise,0.0,0.654,0.346,0.9873,0.2571428571428572,0.2726190476190476
27,27,ocean raid box office ocean crime caper sequel starring george clooney brad pitt julia robert gone straight number box office chart took weekend ticket sale studio estimate sequel follows master criminal try pull heist knocked number treasure wesley snipe blade trinity taking rounding animated fable polar express starring tom hank festive comedy christmas kranks ocean box office triumph mark fourth opening december release film lord ring trilogy sequel narrowly beat predecessor ocean took opening weekend total remake starring frank sinatra rat pack ocean directed oscar winning steven soderbergh soderbergh return direct sequel reunites clooney pitt robert matt damon andy garcia elliott gould catherine zeta jones join star cast fun holiday movie dan fellman president distribution warner bros critic complimentary project los angeles time labelling dispiriting vanity project milder review york time dubbed sequel unabashedly trivial,entertainment,joy,0.075,0.738,0.186,0.9413,0.07166666666666666,0.42000000000000004
28,28,dvd review spider man universal rule film superhero special effect extravaganza spider man break rule fantastically deep quickly drawn tale spidey versus doc ock fate poor peter parker gigantic set piece seamlessly brooding personal torment look stunning effect look false tobey maguire kirsten dunst alfred molina compelling universal rule dvd superhero film feature effect disc cover special effect detailed look film commentary trailer blooper reel quality come bulk set contains wayne film ranging western war movie quiet man christmas present truly complete collection lean wayne film true grit instance hellraisers film look transferred dvd extra daft knew famous series cult favourite awaited dvd set season buck gil gerard wilma erin gray tongue cheek adventure camp gaudy remember disappointment dvd po faced season import price bigger omission extra particularly disappointing originally meant commentary star gerard gray agreed,entertainment,joy,0.115,0.753,0.131,-0.101,0.0669047619047619,0.43704761904761896
29,29,tautou film top cesar prize nod french film engagement received nomination france cesar film award ruling french war romantic drama starring audrey tautou recently ruled american paris court partially backed warner bros cesar organiser modified rule allow film compete film directed jean pierre jeunet received best actress picture nomination november court judged film american compete french film festival association french producer challenged jeunet french subsidy warner bros backer ruling meant movie filmed france french actor technician eligible compete french prize alain terzian cesar organiser academie de art et technique du cinema change eligibility rule allow film french expression prior court film best film category include police drama quai de orfevres arnaud desplechin king queen abdellatif kechiche l esquive france film box chorus best actor daniel auteuil mathieu amalric king queen gerard jugnot chorus philippe torreton l equipier benoit poelvoorde podium tautou compete maggie cheung emmanuelle devos yolande moreau karin viard best actress moore fahrenheit motorcycle diary translation eternal sunshine spotless mind gram vying best foreign film prize award ceremony february smith star robot independence men black given honorary cesar french singer actor jacques dutronc,entertainment,love,0.024,0.714,0.262,0.9945,0.22210144927536232,0.15688405797101446
30,30,downloads enter single chart digital music downloads included main single chart time billboard hot chart incorporates data sale music downloads previously assigned separate download chart green day boulevard broken dream number billboard pop chart top digital chart download sale incorporated uk single chart later year digital sale compile billboard hot digital sale chart tallied sale physical single airplay information new hot chart new chart pop combine airplay digital physical sale confines airplay information radio station play chart music addition green day artist current digital sale include kelly clarkson killer sale legally downloaded song shot tenfold million track purchased online international federation phonographic industry ifpi reported month uk sale song downloads overtook physical single time year december saw download sale compared physical single according british phonographic industry uk official music download chart launched september compiling popular track downloaded legal uk site including itunes mycokemusic com napster westlife flying wing track reissued occasion number uk download chart spokesman british phonographic industry bpi combined uk download sale chart compiled year music right sure new chart work plan bpi spokesman described uk music download chart compiled official chart success launch provided focus industry driven interest downloads music fan,entertainment,love,0.035,0.838,0.128,0.9169,0.06451881451881451,0.27936877936877946
31,31,mansfield leyton orient second half goal andy scott condemned mansfield ninth successive early second half wayne carlisle cross met scott blasted ball outside penalty area orient chased second mansfield clear alan white header kevin pilkington saved simpson mansfield fan chanting head chairman keith haslam pilkington talbot buxton dimech artell corden murray curtis neil warne barker sub white mcintosh wood lloyd herron harrison lockwood donny barnard white mackie scott saah simpson carlisle lee barnard ibehre sub morris wardley newey zakuani mcmahon scott mathieson cheshire,sport,joy,0.064,0.831,0.106,0.4404,-0.056410256410256404,0.15128205128205127
32,32,rapper jay z label bos rap star jay z company executive charge hip hop influential label def jam jay z music black album company executive def jam parent company universal appointment buying jay z roc fella label def jam artist cool j dmx ludacris ja rule ashanti jay z continue run roc fella founded damon dash kanye west beanie sigel roster universal wednesday bought roc fella antonio la reid chairman island def jam music relevant credible hip hop community build def jam fantastic legacy hoped jay z company groundbreaking era jay z shawn carter inherited brand hip hop def jam roc fella feel giant step entire artist community successful respected rap star jay z hit included knock dirt shoulder bonnie clyde girlfriend beyonce knowles retire black album released album ill fated tour r kelly def jam founded russell simmons producer rick rubin signed artist run dmc beastie boy enemy,entertainment,joy,0.055,0.828,0.117,0.8625,0.12222222222222222,0.632638888888889
33,33,hollywood hunt hit sundance sundance film festival movie destination uncovering independent hit talent open thursday event screen executive decamp hollywood park city utah search low key movie big water napoleon dynamite garden super size snapped festival star keanu reef pierce brosnan film showing festival opened screening quirky comedy happy ending starring friend actress lisa kudrow maggie gyllenhaal thursday kudrow friend co star david schwimmer play divorced drunkard duane hopwood brosnan star man comedy matador keanu reef appears coming age tale thumbsucker kevin costner keaton big name film involved robert redford founded sundance gone showcase success reservoir dog blair witch project monty received criticism commercial mainstream press argues sundance completely changed changed festival director geoffrey gilmore place discovery place common ground film maker audience celebrity stuff film generating interest festival include hustle flow aspiring rapper squid whale autobiographical film writer director noah baumbach comedy drama pretty persuasion cinema competition,entertainment,joy,0.053,0.662,0.285,0.9919,0.09888888888888889,0.44611111111111107
34,34,hoffman hit modern film hollywood legend dustin hoffman quality current film theatre production star rain man tootsie film culture craphouse press conference tuesday old stopped working year ago lost spark acting hoffman uk publicise comedy meet fockers star robert de niro barbra streisand ben stiller cinema realise watching act second act massive film making spend incredible money right demographic tell money film weekend culture craphouse true movie true theatre broadway special effect demand good culturally hoffman stopped working year ago moved directing writing lost spark couple year ago part getting studio interested kind film generation wanted thought stop try writing directing aware depression recently hoffmann returned film role heart huckabees finding neverland meet fockers sequel meet parent meet fockers open uk friday,entertainment,joy,0.109,0.729,0.162,0.8316,0.24682539682539684,0.4615079365079365
